user,text,created_at
jumarni_mar,"Survei Charta Politika: Ganjar Berhasil Ungguli Anies di Sumut dan Kaltim
#ganjarpranowo
#ganjar_pranowo… https://t.co/7BuiiXgxIy",2022-11-30 01:25:00+00:00
diyah_purn,"Survei Charta Politika: Ganjar Berhasil Ungguli Anies di Sumut dan Kaltim
#ganjarpranowo
#ganjar_pranowo… https://t.co/p70QqXxHvo",2022-11-30 01:25:00+00:00
azizah53250312,"SURVEI:GANJAR BERHASIL UNGGULI ANIES DI SUMUT DAN KALTIM.
#ganjarpranowo
#ganjar_pranowo
#ganjarkita… https://t.co/BHm6RA0Bc9",2022-11-30 01:25:00+00:00
sidar48298337,"Survei Charta Poltika : Ganjar Berhasil Unggul Anies Di Sumut Dan Kaltim
#ganjarpranowo
#ganjar_pranowo
#ganjarkita… https://t.co/ZGaki1qt82",2022-11-30 01:25:00+00:00
semangalitow,"RT @03__nakula: Jangan sampai kita terbawa suasana hujan yang mengguyur.

Gimanapun, Indonesia harus Bersinar bersama Ganjar Pranowo !!!!…",2022-11-30 01:24:39+00:00
Utero2022,"RT @Y07d1_40s1H: DI DEPAN PRABOWO DIA BILANG 2024 JATAH Y PRABOWO..

DI DEPAN GANJAR DIA BILANG PILIHLAH PEMIMPIN YANG RAMBUT Y PUTIH..

DI…",2022-11-30 01:24:24+00:00
marv3llll,"RT @B3doel___: Ganjar Pranowo-Erick Thohir Sosok yang Diinginkan Jokowi

Memang yang dirujuk oleh Presiden Jokowi adalah Bapak Ganjar Prano…",2022-11-30 01:23:24+00:00
SgMarthin,"RT @Azhar_k18: https://t.co/460XReWkW3
""Sebanyak 87,5 persen responden pemilih PDIP dan Ganjar Pranowo menyatakan tetap memilih Ganjar Pran…",2022-11-30 01:23:24+00:00
t_ludiro_s_c,"RT @t_ludiro_s_c: @AndiSinulingga Pooling sementara, ruang lingkup terbatas, sudah menunjukkan hasil seperti itu.
Maka dapat disimpulkan ba…",2022-11-30 01:23:15+00:00
hadycrbn,"RT @Hasbil_Lbs: Yg lalu Anies/AHY (1066 vote) Vs Ganjar/Khofifah (199 vote) 

Nah sekarang saya coba pasangan ini. Siapa yg akan anda pilih…",2022-11-30 01:22:56+00:00
Urrangawak,"RT @03__nakula: Jangan sampai kita terbawa suasana hujan yang mengguyur.

Gimanapun, Indonesia harus Bersinar bersama Ganjar Pranowo !!!!…",2022-11-30 01:22:55+00:00
Gr4sssss,Si Rambut Putih Ganjar Pranowo Diundang Slank ke Konser Ini https://t.co/p1UnkJ59iY,2022-11-30 01:22:44+00:00
t_ludiro_s_c,"@AndiSinulingga Pooling sementara, ruang lingkup terbatas, sudah menunjukkan hasil seperti itu.
Maka dapat disimpul… https://t.co/0CW7Yf0dBo",2022-11-30 01:22:44+00:00
HRMalik12,"RT @03__nakula: Jangan sampai kita terbawa suasana hujan yang mengguyur.

Gimanapun, Indonesia harus Bersinar bersama Ganjar Pranowo !!!!…",2022-11-30 01:22:41+00:00
utarioep,"Ngapain menunggu laporan masyarakat?
Kementrian ESDM punya fasilitas geoportal yang bisa diakses siapa saja, termas… https://t.co/o1avo4nS8Q",2022-11-30 01:22:34+00:00
marv3llll,"RT @chaterine_8: ""Memang yg dirujuk oleh Presiden Jokowi adlh Bapak Ganjar Pranowo. Pak @erickthohir juga salah satu pemimpin yg sering tur…",2022-11-30 01:22:34+00:00
LockWordl,"RT @Urrangawak: Bisa lihat kan Kharisma yang terpancar dari Ganjar Pranowo.

Buang semua keraguan kalian, karena Orang Benar, Pilih Ganjar…",2022-11-30 01:22:29+00:00
riverfide,"Misteri Sang Rambut Putih
Terjawab Sudah, yang benar ya Dukung Ganjar https://t.co/2w1ekrv2wA",2022-11-30 01:22:22+00:00
SetFeny,"RT @Relawananies: Survei Indopol: Elektabilitas Anies Tembus 30 Persen, Kalahkan Ganjar dan Prabowo

https://t.co/u6v2hFsuSt",2022-11-30 01:21:46+00:00
